personID,"albums_album","albums_artist","albums_id"
1,"Everything To Everyone","Reneé Rapp","4Kk5hoolfW8UN6cTSo5fXJ"
1,"Cicada","Akira","5WD3VNA9dZiDL4hivYjNBO"
1,"eternal sunshine","Ariana Grande","3L2iweH45rVdTBPldbY6dp"
1,"MONTERO","Lil Nas X","6pOiDiuDQqrmo5DbG0ZubR"
1,"Cry-Baby: The Musical (Original Studio Cast Recording)","Various Artists","6byNiLoqJBqU5wfHTxWZZP"
1,"My Jolly Sailor Bold","Vinny Marchi","3SlDy6kC80wJqJeIJFT13l"
1,"Everything I Know About Love","Laufey","777K2ytcKbDsX0AZ2y8CBS"
1,"RWBY, Vol. 9 (Music from the Rooster Teeth Series)","Various Artists","3PYotk4zA2lmTOTnmUwhOf"
1,"Snow White","Laufey","488ewItrKZCwV9k2JqvnKL"
1,"Golden Child","Paravi","1yt8iYtXCRNw6W3gThI3Pz"
1,"Lover","Taylor Swift","1NAmidJlEaVgA3MpcPFYGq"
1,"Planet Her","Doja Cat","1nAQbHeOWTfQzbOoFrvndW"
1,"The Outsider EP","Lyn Lapid","0c7zKLCs5B2Q34GStRLahp"
1,"Guys and Dolls (New Broadway Cast Recording (1992))","New Broadway Cast of Guys and Dolls (1992)","7aVLz778h7j4o82KcAD2Ic"
1,"rising","mxmtoon","4Ozq72UWig4PdVy3yGyzAE"
1,"The Miseducation of Lauryn Hill","Ms. Lauryn Hill","1BZoqf8Zje5nGdwZhOjAtD"
1,"Family Business","Lawrence","2Sb0autVivIydesNKk5J6p"
1,"Mamma Mia! The Movie Soundtrack","Cast of Mamma Mia! The Movie","6QtnCAFmqOwR75jOOmU7k9"
1,"folklore","Taylor Swift","2fenSS68JI1h4Fo296JfGr"
1,"Requiem","Laura Dreyfuss","6hDxdAyBmHZO0ClRUI5wQs"
1,"HOMECOMING: THE LIVE ALBUM","Beyoncé","35S1JCj5paIfElT2GODl6x"
10,"BLEED","The Kid LAROI","783jliO1kkc5vXTrxHqNKk"
10,"Gravity","Gryffin","2IAVHJdaRPFA6MQqXHoG75"
10,"BEFORE I FORGET","The Kid LAROI","5apkkoLPJJYZcghFfuNTF3"
10,"the fleeting life of a fool","Powfu","4tFeJmoYwsf4DBNTqAl4bf"
10,"ASCEND","ILLENIUM","60xcVwuQJAOyu11xf9mObS"
10,"gills","Malcom Rojas","4A7eqTcQ0MAsKrVPjzoOxG"
10,"GIRLS","The Kid LAROI","17R63Sb8OrPikc2R4mlpdC"
10,"1989 (Taylor's Version)","Taylor Swift","64LU4c1nfjz1t4VnGhagcg"
10,"F*CK LOVE","The Kid LAROI","6RuwGwQcAureaOraKJNFQG"
10,"her (feat. ZVC)","JVKE","7oxC0J3L5JiVHMZRU9qGPS"
10,"HOME IS CHANGING","Mishaal Tamer","3B69Rwb21o9LqQnJB9dw5O"
10,"K-12","Melanie Martinez","1KerGJUScYGffP3Mjmjz8c"
2,"Amygdala","Ecco2k","7IUUaatsZEC81o9uWHJ1Nv"
2,"SOS","SZA","07w0rG5TETcyihsEIZR3qG"
2,"MUSIC","Playboi Carti","0fSfkmx0tdPqFYkJuNX74a"
2,"Petra","Weston Estate","1bO7MgtALIhHvzpYveTenM"
2,"LEAF","Toshi","3lyiaXGSpvKLCajyxo6Ozq"
2,"Census Designated","Jane Remover","0rsCXQ9QyrLaTc2a5fvsZR"
2,"By your neck (feat. Mckdaddy)","NECTA","5REEnazOLzZmzjJo7gSKwu"
2,"SPIRIT OF THUNDER","Yung Lean","6gqD6cqqgOIEJeYo0I3p5e"
2,"Discolor","Harry Teardrop","68uboqtlTuZfAvT4k21Rhp"
2,"Planet Her (Deluxe)","Doja Cat","4XLPYMERZZaBzkJg0mkdvO"
2,"Stateside + Bladee","PinkPantheress","7mDo8xgaQ4CmWWKTvdSBkM"
2,"britney in 07","blackbear","5niKmHGHPcCIEMT6KDgK7W"
2,"Fallen Angel","KETTAMA","5eKWupqx2kfK4w9eEmUn6n"
2,"Evil World","Bladee","73FFffkBe9Bo20VZHktCn5"
2,"IITE COOL","DPR LIVE","2OjMA1arGnBXDE20XbesVL"
2,"UTOPIA","Travis Scott","18NOKLkZETa4sWwLMIm0UZ"
2,"Moodswings In To Order","DPR IAN","7vp2iMEQzhNX4sEIUbHpiJ"
2,"Ateriavia","Anthony1","664QNZp0rW7xSokEzxqVSb"
2,"No Broke Boys","Disco Lines","520FALYwo6yPbp5kBchA8N"
2,"drunk","keshi","14vqR57z8khZzYex37NVg9"
2,"Snow White","fakemink","1kT9mMdutnqDX1UA24WIvb"
2,"Crumbling","Mid-Air Thief","4n9J61IrlrEFswxTu0MJIo"
2,"bandaids","keshi","4LfFHT00C9ImLMUjHkqWjQ"
2,"Jam & Butterfly","DPR LIVE","5MYVpPtqQFHdYIJV0gnYbq"
2,"SOMEBODY","keshi","5aGeJx3pPmu3uAiX3tP5D5"
2,"NewJeans 'Super Shy'","NewJeans","5V729UqvhwNOcMejx0m55I"
2,"INSOMNIA","Marco Luka","0KFe3C56QqABVUNEsSNgEq"
2,"NEEDY","Internet Girl","3TabBrRi5NikOnQS5oipDW"
2,"TM","BROCKHAMPTON","0EICXG4UBIAUOKVlfBGipA"
2,"FUCK THE SPEAKERZ UP","ISOxo","7a7eYrzNW0rYcWKTc7AW4j"
2,"Expression On Your Face","Mechatok","0SylYxgzz1dgwuN4ItVB3u"
2,"SUPERBLOOM","Weston Estate","1hjKhAUMaMBkTz1RVngugO"
2,"GABRIEL","keshi","1WVIJaAboRSwJOe4u0n0Q7"
2,"gold","2hollis","6Ucd9PvaoiSlQXY8OOupkW"
2,"Rehab","Mokyo","7shV9Ltl8Cd7yjQgARX6J6"
2,"MADONNA & RIHANNA","Rich Amiri","0r81t0FQLIyyAytNSLUbqy"
2,"Easy v2","Baird","01c1TtxDepIhj3i14YiRzA"
2,"A Great Chaos","Ken Carson","0HS8aknH0JQdMIiBVhyOCW"
2,"Glue","Kevin Abstract","4SLobK9FvbKa5OtW4qLr3Q"
2,"1st Single 'S.i.R'","BOBBY","7eZ1MuD9GYRP35jumpZStH"
2,"踊り子","Vaundy","3qDlmj2bxxsDO7EdVgwb7j"
2,"beside you","keshi","3boOG8cQ8szHDizPKUyBFD"
2,"Don't Be Dumb","A$AP Rocky","4itKk52E9ZCdWUQcFAkud9"
2,"IS ANYBODY OUT THERE?","DPR LIVE","6j8x8zBChjzCn0FD7KJB7p"
2,"Cold Visions","Bladee","5fjDXtY8tws1sbPFHw34pL"
2,"Psykos","Yung Lean","3Prj5ncKli5arNTmILU6aV"
2,"CONGLOMERATE","Fimiguerrero","3cb1xcLTVs1ovpTCXAq2EP"
3,"6 Of A Billion","Claire Rosinkranz","00XbpqjUL8dH40s3vGltsV"
3,"Rivalry / It's You (from ""Heated Rivalry"" Original Series Soundtrack)","Peter Peter","1NsdL2wUV1Wogqpefzxl7s"
3,"Goodie Bag","Still Woozy","0y8sikccXZ3TIW4PkjtI8R"
3,"Black Car","Leon Else","1KqloWW6M7wovZ1hags4ui"
3,"Bridges","BROODS","3QArav9zaSmJNzDTDVrnaB"
3,"Pretty. Odd.","Panic! At The Disco","7Hk9WbjPbN1n2GXaK7aldw"
3,"Donda","Kanye West","340MjPcVdiQRnMigrPybZA"
3,"MAGDALENE","FKA twigs","3DMR3yM5crnt1dG9lLaMTZ"
3,"Parader","Keaton Henson","2zv40AdcaUQOtGnRw7M1Dh"
3,"Make My Bed","King Princess","6VnoKML5dWRxOOEbMAPfG5"
3,"Sensitive","Dreamer Isioma","5Nt1LTzawqGEb4tolMpRQu"
3,"American Teen","Khalid","6kf46HbnYCZzP6rjvQHYzg"
3,"Gemini Rights","Steve Lacy","3Ks0eeH0GWpY4AU20D5HPD"
3,"No Matter Where You Are","Us The Duo","1hwhGQoccUo1mO5TPRxE0D"
3,"Midnights","Taylor Swift","151w1FgRZfnKZA9FEcg9Z3"
3,"Norman Fucking Rockwell!","Lana Del Rey","5XpEKORZ4y6OrCZSKsi46A"
3,"Ethiopiques, vol. 21: Emahoy","Emahoy Tsege Mariam Gebru","4OYhJgrDTR74Yo4SE8Exdk"
3,"channel ORANGE","Frank Ocean","392p3shh2jkxUxY2VHvlH8"
3,"xx","The xx","2rmMeEq5D1Bg7YFRwtHBDr"
3,"Pony","Rex Orange County","5CNckxfLf4TCoMOoxgAU8l"
3,"DECIDE","Djo","4JDXBZdRPId4devseaAOKH"
3,"Superache","Conan Gray","5hIOd0FvjlgG4uLjXHkFWI"
3,"Good Mourning","Sophie Holohan","3r0Jf1SNCTIAEVPBkriBz0"
3,"Shawn Mendes","Shawn Mendes","6AjREacSERvnQTe6GFTx3c"
3,"the record","boygenius","0e9GjrztzBw8oMC6n2CDeI"
3,"Free Spirit","Khalid","6KT8x5oqZJl9CcnM66hddo"
3,"Last of a Dying Breed","Joji","3ttt3IAhIjw42M0OXWbyJS"
3,"good kid, m.A.A.d city","Kendrick Lamar","6PBZN8cbwkqm1ERj2BGXJ1"
3,"The Sunny Nights Project","LeRoyce","6B934MgHvexMvfNwpVfowp"
3,"Fearless","Taylor Swift","2dqn5yOQWdyGwOpOIi9O4x"
3,"The Big Bang","Rock Mafia","2h1ALu053BMJ7ar9GYqBL9"
3,"folklore","Taylor Swift","1pzvBxYgT6OVwJLtHkrdQK"
3,"CASE STUDY 01","Daniel Caesar","4mvxoogQn8p84Wz17zTHnJ"
3,"Malibu Nights","LANY","6SWmGozzQDUaczHXMuE8Za"
3,"Tchaikovsky: Swan Lake","Pyotr Ilyich Tchaikovsky","7dVA06E7AP7P7VzPyNxQVO"
3,"Melodrama","Lorde","4oCGmYsAQOWt2ACWTpNUU6"
3,"Home Video","Lucy Dacus","2nwfSapJ3YIq7Ofad4Vuh1"
3,"The Big Day","Chance the Rapper","7bgi7zCoDsZdlLKPonHZqP"
3,"The June Haverly EP","Troye Sivan","4JOcDRsXp0auetzB9yv2WE"
3,"A Muse In Her Feelings","dvsn","153lLZKTVw25BTcLuXB8ME"
3,"Lately EP","Still Woozy","4PeU1vYLxDKGzU3641YmFI"
3,"Brand New Eyes","Paramore","27UqZoE1kV6sIV6uQcI28A"
3,"Cheap Queen","King Princess","5zzd05ffaL9xuXwQkVuxoF"
