personID,endTime_UTC,audiobookName,chapterName,authorName,msPlayed
8,2025-06-09 21:55:00,Ready Player One,Chapter 16,Ernest Cline,1004592
8,2025-06-09 22:12:00,Ready Player One,Chapter 17,Ernest Cline,965200
8,2025-06-11 15:36:00,Ready Player One,Chapter 17,Ernest Cline,712996
8,2025-06-11 16:02:00,Ready Player One,Chapter 18,Ernest Cline,1549626
8,2025-06-11 16:28:00,Ready Player One,Chapter 19,Ernest Cline,1571449
8,2025-06-11 16:49:00,Ready Player One,Chapter 20,Ernest Cline,1275455
8,2025-06-11 16:50:00,Ready Player One,Chapter 21,Ernest Cline,11590
8,2025-06-13 13:30:00,Ready Player One,Chapter 21,Ernest Cline,1143456
8,2025-06-13 13:46:00,Ready Player One,Chapter 22,Ernest Cline,944790
8,2025-06-15 14:45:00,Ready Player One,Chapter 22,Ernest Cline,725565
8,2025-06-15 15:04:00,Ready Player One,Chapter 23,Ernest Cline,1169085
8,2025-06-15 15:10:00,Ready Player One,Chapter 24,Ernest Cline,327560
8,2025-06-17 23:25:00,Ready Player One,Chapter 24,Ernest Cline,686958
8,2025-06-17 23:45:00,Ready Player One,Chapter 25,Ernest Cline,1186143
8,2025-06-18 00:12:00,Ready Player One,Chapter 26,Ernest Cline,1605382
8,2025-06-18 00:21:00,Ready Player One,Chapter 27,Ernest Cline,479840
8,2025-06-18 21:17:00,Ready Player One,Chapter 27,Ernest Cline,934930
8,2025-06-18 21:34:00,Ready Player One,Chapter 28,Ernest Cline,1013160
8,2025-06-18 21:42:00,Ready Player One,Chapter 29,Ernest Cline,452820
8,2025-06-19 14:33:00,Ready Player One,Chapter 29,Ernest Cline,605646
8,2025-06-19 15:02:00,Ready Player One,Chapter 30,Ernest Cline,1683420
8,2025-06-19 18:28:00,Ready Player One,Chapter 0,Ernest Cline,4969
8,2025-06-20 17:09:00,Ready Player One,Chapter 30,Ernest Cline,207466
8,2025-06-20 17:32:00,Ready Player One,Chapter 31,Ernest Cline,1366335
