danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,duration_ms,time_signature
0.538,0.452,2,-7.994,1,0.0462,0.368,2.26e-05,0.0635,0.209,168.102,4Z59a9hIn8EMsni3OiqGso,222840,4.0
0.6,0.535,4,-7.043,1,0.107,0.648,4.7e-06,0.162,0.269,71.912,0CZ8lquoTX2Dkg7Ak2inwA,225133,4.0
0.515,0.451,9,-8.047,0,0.0309,0.405,1.12e-06,0.111,0.661,169.931,4R5GN0mBvb6jkRj3Zvyhkl,240653,4.0
0.371,0.979,1,-2.701,1,0.144,0.0002,3.67e-06,0.516,0.473,196.058,54MXF9I8s3DuiQo3g0gZ5k,212547,4.0
0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,7KA4W4McWYRpgf0fWsJZWB,180387,4.0
0.474,0.874,2,-5.493,1,0.0823,0.0461,0.0,0.12,0.592,153.03,0UqKPaKqC3tWU4o8BB7owl,226133,4.0
0.5730000000000001,0.593,6,-7.225,1,0.0299,0.114,2.65e-06,0.122,0.425,159.978,5DXKvETa1xppOmd4CDxs9S,231547,4.0
0.601,0.724,6,-4.856,1,0.0486,0.0945,1.68e-06,0.12,0.508,102.061,4hQ6UGyWQIGJmHSo0J88JW,207905,4.0
0.7000000000000001,0.394,9,-8.911,1,0.0328,0.0567,0.0,0.0801,0.241,103.041,6r3duEAfFTH83DuoywkG20,189907,4.0
0.821,0.819,1,-3.627,1,0.0272,0.0104,5.49e-05,0.145,0.893,126.03,79gkHjNTSyGPXEyGkNQ8zH,200347,4.0
0.748,0.761,2,-6.621,1,0.102,0.122,6.56e-06,0.0984,0.362,116.041,5TMLavqGRKNxgzMBrVpC9R,179940,4.0
0.591,0.758,7,-5.748,1,0.0512,0.111,2.28e-06,0.183,0.933,168.038,6rhdKbAlGnmRVfdGnvIyb8,140827,4.0
0.541,0.862,2,-6.674,1,0.0329,0.00572,0.000106,0.644,0.472,145.013,5GIsnSmSyFM8dI3e4dP1G5,175312,4.0
0.766,0.354,6,-9.486,1,0.0543,0.595,0.0,0.381,0.792,153.902,34RmzDXMv0ELSQTK4pNvX3,126464,4.0
0.757,0.711,1,-4.643,0,0.0349,0.36,0.0,0.121,0.817,139.962,6cJLfIqwh0tCKRjYM3WpZ5,206933,4.0
0.729,0.748,0,-6.67,1,0.0245,0.307,1.29e-06,0.09,0.928,99.981,1x0J8LFX23d5h1zzuzZorc,204827,4.0
0.688,0.62,11,-8.029,0,0.22,0.753,5.27e-06,0.158,0.727,170.018,7g8YaUQABMal0zWe7a2ijz,360960,4.0
0.6930000000000001,0.5750000000000001,8,-8.887,1,0.0727,0.124,0.946,0.102,0.728,130.033,62C8Bd6EgEOofLZ1COjF3n,160659,4.0
0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,07MDkzWARZaLEdKxo6yArG,162680,4.0
0.871,0.815,4,-4.439,1,0.0477,0.127,6.18e-06,0.094,0.823,122.959,0IqCoZ168iRc9LqfrYgpZy,176575,4.0
0.752,0.494,0,-8.18,1,0.0559,0.432,0.0,0.0869,0.227,117.901,5TTXEcfsYLh6fTarLaevTi,171356,4.0
0.607,0.709,9,-7.428,1,0.0538,0.372,0.0,0.294,0.551,97.006,2QwpEi3eNToZCCMMRcOj0u,163690,4.0
0.64,0.9,8,-5.44,1,0.0462,0.233,6.54e-06,0.227,0.935,109.939,4rq7oZJeeIkAjp9hNWHbNC,235713,4.0
0.806,0.567,11,-5.656,0,0.0425,0.00438,0.0,0.0427,0.644,120.02,6yOxL1xfPkv9Z9zvpNrMDU,182658,4.0
0.753,0.505,9,-7.621,1,0.255,0.534,2.58e-06,0.104,0.419,91.972,0EcQcdcbQeVJn9fknj44Be,197437,4.0
0.632,0.638,7,-6.731,1,0.0505,0.137,0.0,0.125,0.574,121.868,3U1TuSqHIubBA10cVP7Sk6,202667,3.0
0.337,0.156,0,-14.919,1,0.0518,0.964,7.72e-05,0.115,0.39,176.655,0wavGRldH0AWyu2zvTz8zb,188497,4.0
0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,2GiJYvgVaD2HtM8GqD9EgQ,218107,4.0
0.676,0.525,9,-5.88,1,0.028,0.617,0.0,0.356,0.421,112.011,4ja2gzrNh9VNigzoXfmbwD,210000,4.0
0.789,0.706,11,-4.233,0,0.0429,0.112,1.7100000000000002e-05,0.0586,0.638,125.911,2ENexcMEMsYk0rVJigVD3i,235493,4.0
