personID,"inferences"
1,"11973e9a-4b2b-448c-ac86-c5c52b4ac28c"
1,"2701fe59-b580-4496-a09e-942c861cb57b"
1,"77e16875-c7a7-4d5d-9979-267b77d612c7"
1,"interest_hobbies-and-interests_musical-instruments"
1,"352a8737-d358-4915-b49b-366450f7e589"
1,"1P_Custom_Algorithmic_Playlist_Listeners"
1,"1P_Custom_English_Language_Content_Listeners"
1,"d104b7b4-dc5f-4b65-895c-fea2fcc4f4b7"
1,"0b897ff2-bfb2-4aa0-9c02-c8e8f79018ef"
1,"d56ee1bf-1f0b-40f9-9a80-939d69d1b293"
1,"dd395c79-36c1-4681-8854-df44d8202e78"
1,"decf38c4-b47e-4b03-8ea2-954f76f7935b"
1,"1P_Custom_Summer_Moment_Listeners"
1,"fdc175a5-8fe7-450f-a02a-c0dd8e702c91"
1,"interest_academic-interests_arts-and-humanities_music-and-art"
1,"370468a9-2c16-4da8-b5e4-bf8c42e7c952"
1,"605efd7d-bb2a-45de-8276-6dab2d1f981b"
1,"5cabbc13-e8d5-4b41-ae8d-460ad645bb0b"
1,"f770376f-ffab-46d7-86de-a3f1129d52bd"
1,"69878e31-aa43-4d9f-90fb-51f62f0c4685"
1,"77ca38e3-e65d-4357-93c1-10eb4ccde609"
1,"20feb4cc-246d-4f26-bf62-078ff51b3609"
1,"6b3bbb75-a082-43da-a4a6-4e47d6e04387"
1,"bfa1a545-c77d-4888-9409-3104e6ac0144"
1,"79fda190-c131-4ecf-886f-7f1adf99af1b"
1,"bd9c4eb7-ee8c-4274-8b8e-27ddbac8fb91"
1,"4bd7a796-1286-4f80-a272-31230ee568ea"
1,"7b37df46-2895-4d3c-9ad9-3e089db4bdcd"
1,"1P_Custom_Confidence_Productivity_Motivation_Listeners"
1,"0329338c-15cc-4838-a476-101c2617621f"
1,"244e68a6-a3c7-4b8a-9fe8-c762c1230253"
1,"225b8db3-41d2-4855-b557-9f259bc66e48"
1,"1P_Custom_Friendship_Playlist_Listeners"
1,"504bd9a7-f44d-46db-8e0a-04f33b44a639"
1,"813330fa-d9ed-4e69-90f0-87c1d3d0d08b"
1,"interest_television"
1,"1c1d7dd0-8c18-4fe4-a7c8-ffd217d21e37"
1,"a56267d0-8b1e-441e-ab44-d62555be9a12"
1,"1P_Custom_Broadway_Soundtrack_Streamers"
1,"80dec1f9-a562-4093-a099-8791c4ae35e0"
1,"de473ca8-0882-4145-b7b0-2fe0f7e6f167"
1,"1e852355-0a12-4b6a-93ff-11e5cc5e6143"
1,"4ed0f581-0a8c-4021-925d-6e8e3933f11a"
1,"5ae8f2d1-5936-47ad-81d3-8ea86d665917"
1,"ca2e63b4-a66c-4b47-a6ce-73e327851d49"
1,"59615d68-e87f-4a7b-ada5-d5ef2ff9939e"
1,"807134ba-2abb-48e6-8e41-f83afbfd0ced"
1,"interest_pop-culture"
1,"f8597c03-bccc-4557-a11b-d1d3076b5e0e"
1,"d166837a-6f85-44d3-bc70-7e4308724691"
1,"e6823423-c750-4f38-b7d9-131a665914d2"
1,"fb3a8d0c-7c74-40ed-a432-77504e44c476"
1,"89858f3b-d34f-4431-b2f7-5285f4a3ccdc"
1,"0418cdcd-5f26-4dc9-856d-11f82b560cb8"
1,"b7ccf08c-91aa-48dc-ac7e-c363ecea48f0"
1,"demographic_age_55-59"
1,"content_music_holiday"
1,"1P_Custom_Content_Affinity_Frequency"
1,"dbbfde80-3c9b-475f-84ea-fcd0aaa6f44f"
1,"interest_music-and-audio_comedy-music-and-audio"
1,"1P_Custom_Workout_Moment_Listeners"
1,"5b931046-c5d0-4814-899f-51d774cb954e"
1,"interest_pop-culture_humor-and-satire"
1,"c467e5e7-f5c2-4063-b9b6-ea22a295d740"
1,"ace75cb2-2111-4c3d-972c-370fb9042830"
1,"content_audiobooks_self-help"
1,"00eaa841-4a6a-4ff2-be64-831004e1663b"
1,"b18fbec0-278f-4fd7-af33-228eee17e6a4"
1,"aa33c143-b58c-4624-917a-61c375070a61"
1,"7f64f7fc-2f12-47e2-8fc7-36df2d3e818e"
1,"8fdfdd6c-0652-4706-b818-fc59b2439d02"
1,"3c064d8c-ba6b-44b2-9175-7af5697dc480"
