personID,"episodes_name","episodes_show","episodes_id"
4,"Witchology (WITCHES & WITCHCRAFT) Part 2 with Fio Gede Parma","Ologies with Alie Ward","4SYbhk9TSSD15oeScQVVY8"
4,"The psychology of human delusions with filmmaker Adam McKay","Worklife with Adam Grant","6O06JrRpEjpNQ5xlcZ6pfl"
4,"Breaking free of stereotype threat with Claude Steele","Worklife with Adam Grant","4YScTOOoXjV6g9GhoAneII"
4,"Knowing when to quit with world poker champion Annie Duke","Worklife with Adam Grant","7xEdALls40ni9I8qlpAF3s"
4,"How to Remember Anything","Worklife with Adam Grant","6w2PNYuOoO6UhYZcEcjyai"
4,"The surprising effects of video games with Ash Brandin","Worklife with Adam Grant","17VAvlh5Zvp4g3BYOUbCUW"
4,"The Office's Rainn Wilson on meaning and happiness","Worklife with Adam Grant","6hqqhMzvF436FXW4YXbMH6"
4,"Why data don’t have all the answers with data scientist Andrea Jones-Rooy","Worklife with Adam Grant","5E5b7BMls7euRr1lMvM3ov"
4,"Malcolm Gladwell Questions Everything","Worklife with Adam Grant","11ZYeNMB9NQyDtZtpaBWCA"
4,"Ambition vs. aspiration with philosopher Agnes Callard","Worklife with Adam Grant","1YdmT7dDwHIsr8S2f0bc5E"
4,"Mellody Hobson on Taking Tough Feedback","Worklife with Adam Grant","0YE13NmW1jTT6S069DZt7E"
4,"The Real Reason You Procrastinate","Worklife with Adam Grant","25G4FTrnT22RBKIH6VJpaG"
4,"Finding–and becoming–great mentors and sponsors with Carla Harris","Worklife with Adam Grant","1V20uMjgA6A2cB7G4hLRLf"
4,"Malcolm Gladwell Experiments with Adam's Class","Worklife with Adam Grant","0yzwg58XBoVF75lzRjVtg8"
4,"Building atomic habits with James Clear","Worklife with Adam Grant","4ikrC1DQKtbn64Dv31qRZM"
4,"Busting the myths of the brain with neuroscientist Chantel Prat","Worklife with Adam Grant","00pEM2tLIiVo6yYSgjFBpQ"
4,"The problem with setting goals, with NFL linebacker Emmanuel Acho","Worklife with Adam Grant","1zuWhtVeIIwRCvAuQqyzXi"
4,"Dolly Parton is burning up, not burning out","Worklife with Adam Grant","4dpjLKn9YtswmKuZo8pJkz"
4,"Admiral Linda Fagan on servant leadership","Worklife with Adam Grant","0QKlwcqpyHDLdR6Hn9yVAw"
4,"Daniel Kahneman doesn't trust your intuition (Re-release)","Worklife with Adam Grant","5CqrxdSotiKnp6UR55rGIL"
4,"Steve Martin on finding your authentic voice","Worklife with Adam Grant","69ZpnSgVXIZYHHUhjit64Q"
4,"939 Become Friends with Fear","The School of Greatness","7otFt0sDnDLJ7LOsnQHfK7"
4,"926 Get Out of Your Own Way with Dave Hollis","The School of Greatness","4AKKR7rhuSf3kBqZpMQJIH"
4,"Episode 196: Eric Lander's resignation, FDA's about-face, & Pfizer's lucrative pandemic","The Readout Loud","0BbOAEkEsj24kgZr12mfZ0"
4,"Episode 197: Robert Califf's FDA return, the future of CRISPR, & another vaccine delay","The Readout Loud","1s8Xs5c4gpVlP3nNkFO9Jk"
4,"Travis Footballs Abroad, Jason’s Birthday Scream, and Shark Attack Stories | Ep 63","New Heights with Jason & Travis Kelce","6XWBZhkk2KcXXYuhV9E042"
4,"Eagles Offensive Highs, Chiefs Mile High Lows, and A New Heights Halloween | Ep 61","New Heights with Jason & Travis Kelce","4oZK4RT7vwEuCzjiaFGTnZ"
4,"Jordan Mailata on Journey From Rugby to NFL, Jalen Hurts Dynamic and Greatest Australians | Ep 62","New Heights with Jason & Travis Kelce","1UEO4RwubLrRzWnw8LhvyJ"
4,"Chris Jones on Missing Training Camp, Tyreek Hill’s Trash Talk and His NSFW Combine Moment | Ep 56","New Heights with Jason & Travis Kelce","5TiDrnWRLS7ZuRt0waZCqy"
4,"Jason’s Throwback Win, Travis Reacts to “Swift Stats“, and The Halloween Candy Debate | Ep 60","New Heights with Jason & Travis Kelce","0bLAsy9h0NSwPTPxXyYFAO"
4,"105 - Neurodegenerative Disease Recap! ALXO and LGVN updates plus Breaking Breaking 2021 Top Trades","Breaking Biotech","2yDcRDtpVEjMQ23H8mmilh"
4,"107 - CymaBay Sets to Massively Improve Outcomes in PBC Patients | Interview with CEO Sujal Shah","Breaking Biotech","3RDjlmqWybalFwiWi9UZBO"
4,"108 - NASH Companies to Watch in 2022! Madrigal Pharma Announces Positive Data in NAFLD","Breaking Biotech","2CHhb2bJQmmdrnZZeddAau"
4,"104 - Biotech Bear Market Offers SIGNIFICANT Opportunity in Oncology - CRIS! Longeveron Rises on ODD","Breaking Biotech","3gaoy2unji8zUvhdF9trki"
4,"106 - Bright Spot Among CRISPR in Caribou Biosci. 2022 Biotech Trends to Watch!","Breaking Biotech","3GOstGVZCm4kkS3unYiOio"
5,"Israel/Lebanon Airstrikes, Election Polling, Harassment Coverup Investigation","Up First from NPR","4R3HvEjbeMFj6ilGvoLLgz"
5,"Episode 133: Lachlan Morton -- Unbound Winner, Professional Cyclist","King of the Ride","1bNygpmH8V3FDDlIzon743"
6,"12 Yoga for Runners","Amy Tenney Yoga + Meditation","1IN5h5H7JphIaZoYIiPNsy"
6,"Yoga for Runners with Michelle Font","Marathon Running Podcast by Marathon Journal","3NRS6yO4AXwTwAVqYrITP6"
6,"EMPEROR PALPATINE'S DARK SIDE ORIGIN STORY : FULLY EXPLAINED","Star Wars Theory","6Na0LJIEchKGJZ43wQabZT"
6,"Episode 4: Cole Hocker ""Goldie Hocks & Ben Thomas's Grueling Warm-up""","Sit & Kick","1bfBmZM1D1FrYOIVGh3bJn"
6,"Cole Hocker, Charlie Hunter and Cooper Teare Cash Out!","Sit & Kick","08mW4ETOdFpi7XIMPcere7"
6,"Episode 2: Bryce Hoppel ""There are other pro teams? Still runs 1:44.""","Sit & Kick","3pYji7MBZEpudSEimBF5Wc"
6,"Elite Endurance Athlete Cam Wurf On Sustainable Training Strategies And How To Unlock Your Athletic Potential","The Rich Roll Podcast","4AF3BlqO6CqCoKWVZjsWoE"
6,"You Can’t Hurt David Goggins: Going Beyond Motivation & Why Mindset Is Everything","The Rich Roll Podcast","6PGo6xOMUxDqTJkNELJt9a"
6,"Like That (Remix) - Kanye West","Kanye Unreleased","7uil3uYKmIQWpGxnaBLWXv"
6,"End of it (Yandhi) - Kanye West","Kanye Unreleased","4OUeYdSDBIF1Lu3RjRwpIG"
6,"tame impala ~ the less i know the better \ slowed + reverb","@gilbertomrls ","4zeWBEO9yGGZyj22vR5q8I"
6,"The fastest growing energy technology on the market","Everything Energy","6MrT9X0JhFqVHDHv8rJyKd"
6,"How petrochemicals are reshaping oil markets","Everything Energy","1d9ZOK7Ku35a3LJtesE380"
6,"Staying cool without overheating the energy system","Everything Energy","6blqnxU8I8vE5cn8o20RX9"
6,"The forces shaping oil markets","Everything Energy","1I1cFBDJXUZNpT7ZcUf5pQ"
6,"Where the money is going in energy","Everything Energy","0Tg1A53cejHwu5DYv6Cg6e"
6,"Florida's NCAA Heptathlon Champion Anna Hall Explains How She Got So Good Across All Track And Field Events, Goals for Worlds","The CITIUS MAG Podcast | A Running + Track and Field Show","4nlOpBTuh8tg3P4aiGUskh"
6,"Yared Nuguse Announces He's Joining The On Athletics Club, Recaps His Notre Dame Experience + Getting Over Olympic Disappointment","The CITIUS MAG Podcast | A Running + Track and Field Show","3H2DK9lmfl0DJOCTUwG3Xi"
6,"World Champion, Olympic Silver Medalist Grant Holloway On The Work He's Put In To Become Great, Chasing World Records | Out of The Blocks with Jasmine Todd & Katelyn Hutchison","The CITIUS MAG Podcast | A Running + Track and Field Show","2jhHoz7QWJoawDNio5pMub"
6,"Robert Griffin III (RG3) Returns To Track and Field, Recapping His Experience Calling The NCAA Track & Field Championships For ESPN","The CITIUS MAG Podcast | A Running + Track and Field Show","6Jag4bPJJkkg9b2kJAYGYg"
6,"After The Final Lap: Millrose Games (Ft. Special Host Matthew Centrowitz + Guests: Olli Hoare, Dathan Ritzenhein, Josette Norris, Geordie Beamish, Conner Mantz)","The CITIUS MAG Podcast | A Running + Track and Field Show","18N8hqUfm8O9qM7dIiVRxd"
6,"Erriyon Knighton On Running Faster Than Usain Bolt As A Teenager, Writing His Own Legacy At 18 Years Old","The CITIUS MAG Podcast | A Running + Track and Field Show","6YIt3r2SnV4qakeJ8k86pD"
6,"Joseph Fahnbulleh On Being The Fastest Man In The NCAA After Winning The 100 Meters, 200 Meters + Team Title For Florida","The CITIUS MAG Podcast | A Running + Track and Field Show","51wZqbPrGBVE5p6WZgRaVy"
6,"Return of the King: with Woody Kincaid","Run Your Mouth","56oM07Iye3NOJ3WsTJCTMY"
6,"Packing for Tokyo: with Bryce Hoppel","Run Your Mouth","2HWafya94KEsg9TzQUulHo"
6,"Can't Say No: with Craig Engels","Run Your Mouth","5Nj2naPhTbbNn3u3Wz2kSN"
6,"#1793 - Mike Baker","The Joe Rogan Experience","44i3nQNm6yXV9jS9FUZHI0"
6,"#1368 - Edward Snowden","The Joe Rogan Experience","7MaJD5vZsNSNrKQVEk5gbD"
