personID,artistName,segment
1,Lizzo,Previously Active Listeners
1,Wasia Project,Light listeners
1,John Savident,Previously Active Listeners
1,Major Lazer,Previously Active Listeners
1,Auli'i Cravalho,Previously Active Listeners
1,Richard H. Blake,Previously Active Listeners
1,Thelonious Monk,Previously Active Listeners
1,Tommy Martinez,Light listeners
1,Laufey,Moderate listeners
1,Lil' Kim,Previously Active Listeners
1,Tierra Whack,Previously Active Listeners
1,Mel Tormé,Light listeners
1,TWICE,Light listeners
1,ꉈꀧ꒒꒒ꁄꍈꍈꀧ꒦ꉈ ꉣꅔꎡꅔꁕꁄ,Previously Active Listeners
1,Reneé Rapp,Moderate listeners
1,Marc Shaiman,Moderate listeners
1,Mix,Previously Active Listeners
1,Sarah Quartel,Light listeners
1,Christian Borle,Previously Active Listeners
1,Rachel Hardy,Previously Active Listeners
1,Tammy Blanchard,Previously Active Listeners
1,Doechii,Light listeners
1,Afra Hines,Light listeners
1,Will Bell,Light listeners
1,Barrett Wilbert Weed,Moderate listeners
1,Natasha Richardson,Light listeners
1,Sutton Foster,Moderate listeners
1,Cavetown,Previously Active Listeners
1,Kerry Butler,Light listeners
1,Travis Barker,Previously Active Listeners
1,Conan Gray,Previously Active Listeners
1,Nicole Scherzinger,Previously Active Listeners
1,Post Malone,Light listeners
1,A. G. Cook,Previously Active Listeners
1,Jeff Williams,Moderate listeners
1,Cindy Ellis,Light listeners
1,Tracie Thoms,Light listeners
1,Hunter Foster,Previously Active Listeners
1,Philharmonia Orchestra,Previously Active Listeners
1,Alfre Woodard,Previously Active Listeners
1,Alli Mauzey,Light listeners
1,Patti LuPone,Previously Active Listeners
1,Barry Manilow,Light listeners
1,Neon Trees,Previously Active Listeners
1,Scott Hoying,Previously Active Listeners
1,Heather Aube,Light listeners
1,Stephen Layton,Moderate listeners
1,Jennifer Laura Thompson,Moderate listeners
1,Bruno Mars,Previously Active Listeners
1,Archana,Light listeners
1,"New Broadway Cast of Hello, Dolly!",Previously Active Listeners
1,Whoopi Goldberg,Previously Active Listeners
1,Taylor Louderman,Light listeners
1,Original Broadway Cast of Thoroughly Modern Millie,Moderate listeners
1,Sexyy Red,Moderate listeners
1,James Snyder,Previously Active Listeners
1,Eric Anderson,Moderate listeners
1,CNCO,Previously Active Listeners
1,dodie,Previously Active Listeners
1,Anson Bagley,Previously Active Listeners
1,Brooke Maxwell,Previously Active Listeners
1,Natalie Cortez,Previously Active Listeners
1,Evan Rachel Wood,Light listeners
1,Goose,Previously Active Listeners
1,Ambar Lucid,Previously Active Listeners
