artist.id,artist.name,artist.genre
0IlAtf4VeHUzQYRM8GMWXw,Sheath,lo-fi
0IlAtf4VeHUzQYRM8GMWXw,Sheath,jazz beats
0IlAtf4VeHUzQYRM8GMWXw,Sheath,lo-fi beats
1mTleyaaJ910LuKKbtNDr1,Quantum Break,lo-fi
45BqLp2kWLyeljj3x0WBER,Pierson Booth,lo-fi
2awWBxv11I86fi6z4T0U9o,jüle.,jazz beats
2awWBxv11I86fi6z4T0U9o,jüle.,lo-fi
2awWBxv11I86fi6z4T0U9o,jüle.,lo-fi beats
2ZSBQcpkzOiygKAT0uRmaH,LUQĘT,lo-fi
48Fimh8FHISFkwxpgOOvGe,Comodo,lo-fi hip hop
48Fimh8FHISFkwxpgOOvGe,Comodo,lo-fi beats
48Fimh8FHISFkwxpgOOvGe,Comodo,lo-fi
3vzJueN7TkCtYpz1myVmDU,Dontcry,lo-fi
3vzJueN7TkCtYpz1myVmDU,Dontcry,lo-fi hip hop
3vzJueN7TkCtYpz1myVmDU,Dontcry,lo-fi beats
6dY8i34qqvAmPgYeOzHTO9,Sling Dilly,lo-fi
6dY8i34qqvAmPgYeOzHTO9,Sling Dilly,lo-fi hip hop
6dY8i34qqvAmPgYeOzHTO9,Sling Dilly,lo-fi beats
6dY8i34qqvAmPgYeOzHTO9,Sling Dilly,jazz beats
1XFN3VcuKr4tsTtQlRiTgK,Mondo Loops,lo-fi hip hop
1XFN3VcuKr4tsTtQlRiTgK,Mondo Loops,lo-fi
1XFN3VcuKr4tsTtQlRiTgK,Mondo Loops,lo-fi beats
5WjSn8i1BGc2BPTzMxAghd,a bowl of rice,jazz rap
5WjSn8i1BGc2BPTzMxAghd,a bowl of rice,lo-fi
31r9bJirjfcF8JfkLoWAbR,Moon-uh,lo-fi
31r9bJirjfcF8JfkLoWAbR,Moon-uh,jazz rap
5nljYdfvafyRYs5soqzJ1U,Monocloud,jazz beats
5nljYdfvafyRYs5soqzJ1U,Monocloud,lo-fi
5nljYdfvafyRYs5soqzJ1U,Monocloud,lo-fi beats
5yY5Dd7ek0OzZgy6a7j52E,John Lee,christian lo-fi
5yY5Dd7ek0OzZgy6a7j52E,John Lee,lo-fi
5yY5Dd7ek0OzZgy6a7j52E,John Lee,jazz beats
3iGthn6RykA9JUHnilAIr0,Krynoze,lo-fi
3iGthn6RykA9JUHnilAIr0,Krynoze,lo-fi hip hop
3iGthn6RykA9JUHnilAIr0,Krynoze,lo-fi beats
3z4b0AED14N0xhEhW1nW10,meno,lo-fi
3z4b0AED14N0xhEhW1nW10,meno,jazz rap
7INJXFDyMoyqqp91q0FWqh,Nuver,lo-fi hip hop
7INJXFDyMoyqqp91q0FWqh,Nuver,lo-fi
7INJXFDyMoyqqp91q0FWqh,Nuver,lo-fi beats
7rgCh0Go1ezmcV75kXQM2T,Engelwood,lo-fi beats
7rgCh0Go1ezmcV75kXQM2T,Engelwood,jazz beats
2xJEE7AyFH4DwefFkWjcPd,JazzyCal,lo-fi
2xJEE7AyFH4DwefFkWjcPd,JazzyCal,jazz beats
24snO5m4Z01DjKf5gtl14T,Fred Paci,jazz beats
24snO5m4Z01DjKf5gtl14T,Fred Paci,lo-fi
24snO5m4Z01DjKf5gtl14T,Fred Paci,lo-fi beats
58qAcScNzgiOslgGsv9In9,Haru Pandi,jazz rap
58qAcScNzgiOslgGsv9In9,Haru Pandi,lo-fi
68Re4wugc13HVak1p8Zawl,Yestalgia,lo-fi
68Re4wugc13HVak1p8Zawl,Yestalgia,lo-fi hip hop
68Re4wugc13HVak1p8Zawl,Yestalgia,lo-fi beats
3XuDZrvJBvhTEGb8uXubgN,Anatomy Park,lo-fi hip hop
37gab2kHkQ8LnCRXYRPHxe,Less Gravity,lo-fi
1hqeRW1EQZ1flf02acnGVU,lofi geek,lo-fi
1hqeRW1EQZ1flf02acnGVU,lofi geek,lo-fi hip hop
1hqeRW1EQZ1flf02acnGVU,lofi geek,lo-fi beats
3z3HY7B1UqsrP5un2WXe2h,Wishes and Dreams,lo-fi
3z3HY7B1UqsrP5un2WXe2h,Wishes and Dreams,lo-fi beats
3z3HY7B1UqsrP5un2WXe2h,Wishes and Dreams,lo-fi hip hop
2s9AUbN500rutTnXy78HzE,Kavv,lo-fi
2s9AUbN500rutTnXy78HzE,Kavv,lo-fi beats
2s9AUbN500rutTnXy78HzE,Kavv,lo-fi hip hop
2s9AUbN500rutTnXy78HzE,Kavv,jazz beats
5F5aValve5LdJk3f9KBL5u,plutones,lo-fi
6fCE48c53nH0iHGaXHNNpE,Pusaloa,lo-fi
4vv1FFVqxnHyQFLmWxjizb,Hevi,lo-fi hip hop
4vv1FFVqxnHyQFLmWxjizb,Hevi,lo-fi
4vv1FFVqxnHyQFLmWxjizb,Hevi,lo-fi beats
5vIVPqlLNO8s55XXbpYbMg,KO WIN,jazz beats
5vIVPqlLNO8s55XXbpYbMg,KO WIN,lo-fi hip hop
