personID,"artists_name","artists_id"
6,"Mac Miller","4LLpKhyESsyAXpc4laK94U"
6,"Marcus King","0FeWKiZSwBRdGzqeCdlH1a"
6,"Muscadine Bloodline","0EyZDKtc41e4A3a3v69MxD"
6,"My Morning Jacket","43O3c6wewpzPKwVaGEEtBM"
6,"Mötley Crüe","0cc6vw3VN8YlIcvr1v7tBL"
6,"Nate Ruess","1qUjOF5fzrpoNycD36b2jZ"
6,"Nina Simone","7G1GBhoKtEPnP86X2PvEYO"
6,"Nirvana","6olE6TJLqED3rqDCT0FyPh"
6,"Oliver Anthony Music","6IkfE2JyVoKwBZXvuytKX3"
6,"Ozzy Osbourne","6ZLTlhejhndI4Rh53vYhrY"
6,"Paul Di'Anno","6SKy1FCU5PskoE5Ode2y3Y"
6,"Pearl Jam","1w5Kfo2jwwIPruYS2UWh56"
6,"Ravyn Lenae","5RTLRtXjbXI2lSXc6jxlAz"
6,"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5"
6,"Rexx Life Raj","5rDXcEIODl8TgGTgrntnjX"
6,"Rihanna","5pKCCKE2ajJHZ9KAiaK11H"
6,"Roberta Flack","0W498bDDNlJIrYMKXdpLHA"
6,"Saba","7Hjbimq43OgxaBRpFXic4x"
6,"Sheryl Crow","4TKTii6gnOnUXQHyuo9JaD"
6,"Sierra Ferrell","3oVcF3VdpMuvMvLLyHPT4t"
6,"Silk Sonic","6PvvGcCY2XtUcSRld1Wilr"
6,"Smino","1ybINI1qPiFbwDXamRtwxD"
6,"State Champs","1qqdO7xMptucPDMopsOdkr"
6,"Talib Kweli","0lEssBAxQl2In4RpaB1C2Y"
6,"Tanna Leone","1bPYCoigTRLOQwNfjpwmff"
6,"Terry Presume","4JLuMu6NZUAU8gYhrzvOdX"
6,"The Burnett Sisters Band","4iy4u18qIEpSVGj3glCHWv"
6,"The Highwaymen","6e7QpHYqEiyJGiM98IysLa"
6,"The J. Geils Band","69Mj3u4FTUrpyeGNSIaU6F"
6,"The Kid LAROI","2tIP7SsRs7vjIcLrU85W8J"
6,"The Local Honeys","3KXxNSegk9keTDArt5YQMm"
6,"The Notorious B.I.G.","5me0Irg2ANcsgc93uaYrpb"
6,"The Smiths","3yY2gUcIsjMr8hjo51PoJ8"
6,"The Steeldrivers","3bLSAQPeix7Xm2e5Gtn48R"
6,"Tom Petty and the Heartbreakers","4tX2TplrkIP4v05BNC903e"
6,"Tone-Loc","5Y8EphH8Vdqu5SLj6K5vjj"
6,"Travis Scott","0Y5tJX1MQlPlqiwlOH1tJY"
6,"Vincent Neil Emerson","2TbbmB7fmmCN7rlOt1wHlC"
6,"Wu-Tang Clan","34EP7KEpOjXcM2TCat1ISk"
6,"XXXTENTACION","15UsOTVnJzReFVN1VCnxy4"
6,"Yebba","1ooV8YZC1KbpEcrmI8WH0F"
6,"Zac Brown Band","6yJCxee7QumYr820xdIsjo"
6,"Zach Bryan","40ZNYROS4zLfyyBSs2PGe2"
6,"ear","3bABCGLkFvjnNIKHvPVHDG"
6,"will.i.am","085pc2PYOi8bGKj0PNjekA"
7,"Daniela Andrade","0WfaItAbs4vlgIA1cuqGtJ"
7,"Kina Grannis","7h4j9YTJJuAHzLCc3KCvYu"
7,"Stella Cole","1JV6ZltofPUo3j5CTALYRR"
8,"A Day To Remember","4NiJW4q9ichVqL1aUsgGAN"
8,"Adele","4dpARuHxo51G3z768sgnrY"
8,"Affiance","4gSQlkxtYOyPSRFksQk6tb"
8,"Alien Boy","65vqyT3OjG2zvb3cO1s44j"
8,"All Good Things","2uMWUtg8XLpJxNSqbGOkl1"
8,"Back to Yours","2pr2qiqBz7GIXRU0z6o3rb"
8,"Black Honey","2oVmQT6s29pVIKpqJkyxBS"
8,"Boyce Avenue","7CQwac16i1W5ej8YpuL3dv"
8,"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3"
8,"Circa Survive","11FY888Qctoy6YueCpFkXT"
8,"Coldplay","4gzpq5DPGxSnKTe4SA8HAU"
8,"Cults","3Oim8XBPbznAa8Jj8QzNc8"
8,"DIIV","4OrizGCKhOrW6iDDJHN9xd"
8,"Edward Sharpe & The Magnetic Zeros","7giUHu5pv6YTZgSkxxCcgh"
8,"Eminem","7dGJo4pcD2V6oG8kP0tJRR"
8,"Envoi","2Q3IDyXwjOClGoJKKmlaa1"
8,"Epic Score","4Kyb02r7dR3H1PH7pYkb8X"
8,"Evanescence","5nGIFgo0shDenQYSE0Sn7c"
8,"Foals","6FQqZYVfTNQ1pCqfkwVFEa"
