personID,"tracks_album","tracks_artist","tracks_track","tracks_id"
1,"MAYHEM","Lady Gaga","Perfect Celebrity","0Tqn5Th0wk55eLdga96vZM"
1,"GUTS","Olivia Rodrigo","lacy","6QT6j7rKt7Vk3IuV2AUO9W"
1,"Fancy Some More?","PinkPantheress","Stateside + Zara Larsson","1DwscornXpj8fmOmYVlqZt"
1,"Thot Shit","Megan Thee Stallion","Thot Shit","5zNW5ARjYhJQJz1AChP33n"
1,"Bewitched","Laufey","Nocturne (Interlude)","2dcPutROdT0VLw2ajhBwTc"
1,"GUTS","Olivia Rodrigo","vampire","1kuGVB7EU95pJObxwvfwKS"
1,"Alter Ego","LISA","Born Again (feat. Doja Cat & RAYE)","7KNmIjcmGJIBrhP2s5Vioe"
1,"Girl, so confusing featuring lorde","Charli xcx","Girl, so confusing featuring lorde","2YFhqZvhTpyK13gKXMKV7R"
1,"Lift Me Up","Rihanna","Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By","35ovElsgyAtQwYPYnZJECg"
1,"Remember When","Wasia Project","Remember When","1KyLAl3R61UiXK9o14SUJm"
1,"MAYHEM","Lady Gaga","Zombieboy","0ElVpg9XIswx3XWs6kUj6a"
1,"Loose","Nelly Furtado","Promiscuous","2gam98EZKrF9XuOkU13ApN"
1,"HOMECOMING: THE LIVE ALBUM","Beyoncé","Say My Name (feat. Kelly Rowland & Michelle Williams) - Homecoming Live","1q0xjWLQOnAbfQa3XzhyYc"
1,"t r a n s p a r e n t s o u l feat. Travis Barker","WILLOW","t r a n s p a r e n t s o u l feat. Travis Barker","1QL7nSDZCwZMnbisV4KOXt"
1,"The Rise and Fall of a Midwest Princess","Chappell Roan","Casual","3WSOUb3U7tqURbBSgZTrZX"
1,"Mumbai","Rhea Raj","Mumbai","7EeD06DnMK4qHhd8p1xZbc"
1,"HISS","Megan Thee Stallion","HISS","79AHPJd8upvNxyK2qQcY8J"
1,"Red Moon In Venus","Kali Uchis","I Wish you Roses","35SbrfbaSpGUBX7e5BPega"
1,"how can i pretend?","Wasia Project","ur so pretty","1Jt24MPLz6fGXSCTlXTjzF"
1,"GUTS","Olivia Rodrigo","all-american bitch","34sOdxWu9FljH84UXdRwu1"
1,"BRAT","Charli xcx","Von dutch","3Y1EvIgEVw51XtgNEgpz5c"
1,"folklore","Taylor Swift","my tears ricochet","1MgV7FIyNxIG7WzMRJV5HC"
1,"rising","mxmtoon","florida","0XL6rCJFJsPhuCRJQER8ap"
1,"Catch My Eye","Asher Friedman","Catch My Eye","56nrECWJdyQb2ovKIPvKm8"
1,"Let You Break My Heart Again","Laufey","Let You Break My Heart Again","3oX7VxSz6EHHnxKGUjk9sx"
1,"Broke with Expensive Taste","Azealia Banks","Luxury","7IzN1BfaQ8fmTHYPRPhNws"
1,"Lemonade","Beyoncé","Sandcastles","2FNPJWVdGxYhWaotd6rULS"
1,"Freudian","Daniel Caesar","Best Part (feat. H.E.R.)","1RMJOxR6GRPsBHL8qeC2ux"
1,"Chinese Satellite","Phoebe Bridgers","Chinese Satellite - Live From Sound City","4A0HztYIT8xANwwTQxAFp0"
1,"The Good Life","Sammy Rae & The Friends","The Feeling","0dmCos7GHCr5PRKp5LNGH7"
1,"Ungodly Hour","Chloe x Halle","Forgive Me","029zYyUh9yRZzqOO29f3xt"
